instance,method,parameter,value,run,seed,makespan,decode_calls,time,optimum
ft10,ga,p,0.7,5,5007,1044,200001,14.608186965000641,930
ft10,ga,p,0.7,6,6007,1017,200001,14.178888276999714,930
ft10,ga,p,0.7,7,7007,974,200001,14.000566958999116,930
ft10,ga,p,0.7,8,8007,963,200001,14.04616978500053,930
ft10,ga,p,0.7,9,9007,993,200001,14.44318553300036,930
ft10,ga,tournament_pct,0.1,0,7,1019,200001,13.343050557999959,930
ft10,ga,tournament_pct,0.1,1,1007,1016,200001,12.989761987000747,930
ft10,ga,tournament_pct,0.1,2,2007,1017,200001,13.636826480998934,930
ft10,ga,tournament_pct,0.1,3,3007,1049,200001,13.387369624000712,930
ft10,ga,tournament_pct,0.1,4,4007,992,200001,13.231585626001106,930
ft10,ga,tournament_pct,0.1,5,5007,1012,200001,13.33770604700112,930
ft10,ga,tournament_pct,0.1,6,6007,982,200001,12.841079433999766,930
ft10,ga,tournament_pct,0.1,7,7007,981,200001,13.36177841999961,930
ft10,ga,tournament_pct,0.1,8,8007,977,200001,12.701681166001435,930
ft10,ga,tournament_pct,0.1,9,9007,1024,200001,12.727436715000294,930
ft10,ga,tournament_pct,0.3,0,7,1044,200001,13.896995564000463,930
ft10,ga,tournament_pct,0.3,1,1007,1025,200001,13.611584177999248,930
ft10,ga,tournament_pct,0.3,2,2007,1045,200001,13.92921877399931,930
ft10,ga,tournament_pct,0.3,3,3007,956,200001,13.70120483699975,930
ft10,ga,tournament_pct,0.3,4,4007,1007,200001,14.65848065299906,930
ft10,ga,tournament_pct,0.3,5,5007,1037,200001,15.469693272998484,930
ft10,ga,tournament_pct,0.3,6,6007,1014,200001,14.5074374729993,930
ft10,ga,tournament_pct,0.3,7,7007,1011,200001,13.693168353000146,930
ft10,ga,tournament_pct,0.3,8,8007,1016,200001,12.895224109999617,930
ft10,ga,tournament_pct,0.3,9,9007,1002,200001,13.06799974599926,930
ft10,ga,tournament_pct,0.6,0,7,1037,200001,14.260791675000291,930
ft10,ga,tournament_pct,0.6,1,1007,1013,200001,13.995833427999969,930
ft10,ga,tournament_pct,0.6,2,2007,1067,200001,13.98503897199953,930
ft10,ga,tournament_pct,0.6,3,3007,993,200001,14.105862749000153,930
ft10,ga,tournament_pct,0.6,4,4007,991,200001,13.323534215000109,930
ft10,ga,tournament_pct,0.6,5,5007,1015,200001,13.468743801999153,930
ft10,ga,tournament_pct,0.6,6,6007,976,200001,13.524274067000079,930
ft10,ga,tournament_pct,0.6,7,7007,1001,200001,13.69970122900122,930
ft10,ga,tournament_pct,0.6,8,8007,982,200001,13.801395921998846,930
ft10,ga,tournament_pct,0.6,9,9007,1001,200001,14.045321186000365,930
ft20,annealing,T0,5,0,7,1180,200000,4.960559560000547,1165
ft20,annealing,T0,5,1,1007,1182,200000,4.841561446000924,1165
ft20,annealing,T0,5,2,2007,1220,200000,5.013999752000018,1165
ft20,annealing,T0,5,3,3007,1180,200000,4.788606383001024,1165
ft20,annealing,T0,5,4,4007,1178,200000,5.049897992999831,1165
ft20,annealing,T0,5,5,5007,1173,200000,4.957162996000989,1165
ft20,annealing,T0,5,6,6007,1178,200000,4.952507034000519,1165
ft20,annealing,T0,5,7,7007,1180,200000,5.0751618729991606,1165
ft20,annealing,T0,5,8,8007,1182,200000,5.176781467000183,1165
ft20,annealing,T0,5,9,9007,1178,200000,5.055707919998895,1165
ft20,annealing,T0,20,0,7,1180,200000,5.101000208000187,1165
ft20,annealing,T0,20,1,1007,1192,200000,5.003933537000194,1165
ft20,annealing,T0,20,2,2007,1178,200000,5.001888650000183,1165
ft20,annealing,T0,20,3,3007,1178,200000,5.039248466000572,1165
ft20,annealing,T0,20,4,4007,1199,200000,4.754735989001347,1165
ft20,annealing,T0,20,5,5007,1179,200000,4.823072652001429,1165
ft20,annealing,T0,20,6,6007,1178,200000,4.988772200000312,1165
ft20,annealing,T0,20,7,7007,1178,200000,4.959485421000863,1165
ft20,annealing,T0,20,8,8007,1180,200000,4.912778395000714,1165
ft20,annealing,T0,20,9,9007,1165,200000,4.996762180000587,1165
ft20,annealing,T0,50,0,7,1178,200000,5.150361939000504,1165
ft20,annealing,T0,50,1,1007,1178,200000,5.139380405000338,1165
ft20,annealing,T0,50,2,2007,1180,200000,5.115525985000204,1165
ft20,annealing,T0,50,3,3007,1178,200000,5.25475890099915,1165
ft20,annealing,T0,50,4,4007,1192,200000,5.04809614000078,1165
ft20,annealing,T0,50,5,5007,1180,200000,5.279953855999338,1165
ft20,annealing,T0,50,6,6007,1182,200000,5.245620744999542,1165
ft20,annealing,T0,50,7,7007,1180,200000,5.0769297540009575,1165
ft20,annealing,T0,50,8,8007,1182,200000,5.333871187998739,1165
ft20,annealing,T0,50,9,9007,1192,200000,5.445397487001173,1165
ft20,annealing,T0,100,0,7,1178,200000,5.443650584998977,1165
ft20,annealing,T0,100,1,1007,1184,200000,5.619677315000445,1165
ft20,annealing,T0,100,2,2007,1182,200000,5.629936020000969,1165
ft20,annealing,T0,100,3,3007,1180,200000,5.284216856000057,1165
ft20,annealing,T0,100,4,4007,1180,200000,5.348348823999913,1165
ft20,annealing,T0,100,5,5007,1178,200000,5.339392613999735,1165
ft20,annealing,T0,100,6,6007,1178,200000,4.953408725999907,1165
ft20,annealing,T0,100,7,7007,1182,200000,4.896785455999634,1165
ft20,annealing,T0,100,8,8007,1182,200000,4.79548969499956,1165
ft20,annealing,T0,100,9,9007,1178,200000,5.096993831999498,1165
ft20,vns,kmax,2,0,7,1236,200000,4.972254030999466,1165
ft20,vns,kmax,2,1,1007,1268,200000,4.7976952210010495,1165
ft20,vns,kmax,2,2,2007,1316,200000,5.018998209001438,1165
ft20,vns,kmax,2,3,3007,1236,200000,4.703309651999007,1165
ft20,vns,kmax,2,4,4007,1256,200000,4.737429673001316,1165
ft20,vns,kmax,2,5,5007,1275,200000,4.701911771999221,1165
ft20,vns,kmax,2,6,6007,1261,200000,4.712318576999678,1165
ft20,vns,kmax,2,7,7007,1285,200000,4.47903708100057,1165
ft20,vns,kmax,2,8,8007,1303,200000,4.714565374999438,1165
